videoId,channelTitle,publishedAt,channelId,title,viewCount,likeCount,dislikeCount,commentCount
hxGB7LU4i1I,Ecourse Review,2016-05-27T07:47:38Z,UCEZi6EERpqH_iQXd-PG2keg,Python programming for beginners: What can you do with Python?,926857,8133,401,390
vaysJAMDaZw,edureka!,2019-03-10T10:04:09Z,UCkw4JCwteGrDHIsyIIKo4tQ,Python Tutorial For Beginners | Python Full Course From Scratch | Python Programming | Edureka,919885,15224,315,495
Y8Tko2YC5hA,Programming with Mosh,2018-10-23T03:06:02Z,UCWv7vMbMWH4-V0ZXdmDpPBA,What is Python? Why Python is So Popular?,903728,31441,367,715
YW8jtSOTRAU,thenewboston,2009-04-19T01:52:16Z,UCJbPGzawDH1njbqV-D5HqKw,Python Programming Tutorial - 2 - Numbers and Math,884525,3468,65,618
wfcWRAxRVBA,CS Dojo,2018-03-28T06:38:13Z,UCxX9wt5FWQUAAz4UrysqK9A,Classes and Objects with Python - Part 1 (Python Tutorial #9),881847,15571,226,1052
pofWfJc3Zog,Richard White,2012-01-16T22:24:42Z,UCcNjkzCmUTxyJO38woidc8Q,Writing a Python Program - Simple Workflow,877595,6513,191,473
yE9v9rt6ziw,Programming with Mosh,2018-10-22T14:00:05Z,UCWv7vMbMWH4-V0ZXdmDpPBA,Python Tutorials for Beginners - Learn Python Online,875772,16345,325,1117
LmEcyQnfpDA,Murtaza's Workshop - Robotics and AI,2021-01-01T17:34:14Z,UCYUjYU5FveRAscQ8V21w81A,Drone Programming With Python Course | 3 Hours | Including x4 Projects (2021),872829,14704,240,535
bY6m6_IIN94,Socratica,2014-03-31T00:03:40Z,UCW6TXMZ5Pq6yL6_k5NZ2e0Q,Learn Python with Socratica || Python Tutorial || Python Programming,865042,8497,176,370
kqtD5dpn9C8,Programming with Mosh,2020-09-16T13:00:20Z,UCWv7vMbMWH4-V0ZXdmDpPBA,Python Tutorial for Beginners [Quick &amp; Easy],868175,26574,258,3064
C-gEQdGVXbk,Corey Schafer,2019-03-25T17:30:00Z,UCCezIgC97PvUuR4_gbFUs5g,10 Python Tips and Tricks For Writing Better Code,840215,26539,234,811
jFCNu1-Xdsw,Microsoft Developer,2019-09-16T20:45:23Z,UCsMica-v34Irf9KVTh6xx-g,Programming with Python | Python for Beginners [1 of 44],839271,14013,93,243
7qHMXu99d88,Al Sweigart,2015-05-27T21:09:34Z,UCRjTEkDLPREZNlREZMlotMQ,Lesson 2 - Python Programming (Automate the Boring Stuff with Python),796906,5337,118,0
JeznW_7DlB0,Tech With Tim,2020-03-29T17:02:09Z,UC4JX40jDee_tINbkjycV4Sg,Python Object Oriented Programming (OOP) - For Beginners,781236,26691,225,1276
nefopNkZmB4,thenewboston,2014-08-26T19:55:08Z,UCJbPGzawDH1njbqV-D5HqKw,Python Programming Tutorial - 3 - Strings,770429,3847,65,367
apACNr7DC_s,Socratica,2017-06-14T02:51:01Z,UCW6TXMZ5Pq6yL6_k5NZ2e0Q,Python Classes and Objects  ||  Python Tutorial  ||  Learn Python Programming,740074,21866,467,975
jE-SpRI3K5g,Dev Ed,2019-10-19T14:00:05Z,UClb90NQQcskPUGDIXsQEz5Q,Build A Python GUI App Tutorial,741827,15286,535,841
